female,day,line,offspring,treatment,pop,obs
184,W4,M315,122,rival,iv,O748
215,W4,M900,122,single,iv,O749
154,W5,M703,122,rival,iv,O750
161,W5,M395,122,single,iv,O751
207,W5,M315,122,single,iv,O752
237,W5,M703,122,single,iv,O753
220,W1,M315,123,rival,iv,O754
176,W2,M596,123,rival,iv,O755
228,W2,M900,123,rival,iv,O756
236,W2,M596,123,rival,iv,O757
154,W3,M703,123,rival,iv,O758
188,W3,M596,123,rival,iv,O759
205,W3,M239,123,single,iv,O760
236,W3,M596,123,rival,iv,O761
154,W4,M703,123,rival,iv,O762
217,W4,M239,123,single,iv,O763
231,W5,M315,123,single,iv,O764
161,W1,M395,124,single,iv,O765
150,W2,M395,124,rival,iv,O766
159,W2,M315,124,single,iv,O767
170,W2,M239,124,rival,iv,O768
175,W3,M596,124,single,iv,O769
133,W4,M239,124,single,iv,O770
203,W4,M900,124,single,iv,O771
125,W5,M395,124,single,iv,O772
123,W6,M315,124,single,iv,O773
231,W6,M315,124,single,iv,O774
190,W2,M703,125,rival,iv,O775
207,W1,M315,126,single,iv,O776
160,W4,M315,126,rival,iv,O777
175,W4,M596,126,single,iv,O778
222,W4,M395,126,rival,iv,O779
148,W5,M315,126,rival,iv,O780
180,W5,M900,126,rival,iv,O781
239,W5,M900,126,single,iv,O782
231,W8,M315,126,single,iv,O783
231,W10,M315,126,single,iv,O784
127,W1,M596,127,single,iv,O785
231,W1,M315,127,single,iv,O786
133,W2,M239,127,single,iv,O787
230,W2,M239,127,rival,iv,O788
180,W9,M900,127,rival,iv,O789
170,W1,M239,128,rival,iv,O790
161,W2,M395,128,single,iv,O791
183,W2,M315,128,single,iv,O792
227,W4,M900,128,single,iv,O793
160,W5,M315,128,rival,iv,O794
170,W5,M239,128,rival,iv,O795
209,W5,M395,128,single,iv,O796
136,W2,M315,129,rival,iv,O797
220,W2,M315,129,rival,iv,O798
135,W5,M315,129,single,iv,O799
154,W2,M703,130,rival,iv,O800
160,W2,M315,130,rival,iv,O801
128,W3,M596,130,rival,iv,O802
148,W3,M315,130,rival,iv,O803
224,W3,M596,130,rival,iv,O804
123,W4,M315,130,single,iv,O805
233,W4,M395,130,single,iv,O806
233,W6,M395,130,single,iv,O807
124,W2,M315,131,rival,iv,O808
124,W3,M315,131,rival,iv,O809
151,W3,M596,131,single,iv,O810
233,W5,M395,131,single,iv,O811
188,W1,M596,132,rival,iv,O812
126,W2,M395,132,rival,iv,O813
123,W1,M315,133,single,iv,O814
148,W2,M315,133,rival,iv,O815
203,W2,M900,133,single,iv,O816
234,W2,M395,133,rival,iv,O817
142,W3,M703,133,rival,iv,O818
231,W7,M315,133,single,iv,O819
231,W2,M315,134,single,iv,O820
233,W2,M395,135,single,iv,O821
180,W3,M900,135,rival,iv,O822
231,W3,M315,135,single,iv,O823
209,W4,M395,135,single,iv,O824
123,W5,M315,135,single,iv,O825
126,W1,M395,136,rival,iv,O826
142,W1,M703,136,rival,iv,O827
199,W3,M596,136,single,iv,O828
203,W3,M900,136,single,iv,O829
207,W4,M315,136,single,iv,O830
157,W1,M239,137,single,iv,O831
121,W2,M239,137,single,iv,O832
175,W2,M596,137,single,iv,O833
209,W2,M395,137,single,iv,O834
125,W2,M395,138,single,iv,O835
157,W5,M239,138,single,iv,O836
215,W3,M900,139,single,iv,O837
240,W3,M900,139,rival,iv,O838
151,W4,M596,139,single,iv,O839
123,W2,M315,140,single,iv,O840
132,W2,M900,141,rival,iv,O841
224,W2,M596,141,rival,iv,O842
151,W2,M596,142,single,iv,O843
199,W2,M596,142,single,iv,O844
207,W2,M315,144,single,iv,O845
199,W4,M596,145,single,iv,O846
164,W2,M596,146,rival,iv,O847
133,W3,M239,146,single,iv,O848
217,W3,M239,146,single,iv,O849
214,W2,M703,147,rival,iv,O850
239,W3,M900,147,single,iv,O851
140,W2,M596,148,rival,iv,O852
122,W3,M239,148,rival,iv,O853
135,W4,M315,148,single,iv,O854
158,W2,M239,149,rival,iv,O855
214,W3,M703,149,rival,iv,O856
162,W2,M395,151,rival,iv,O857
174,W4,M395,152,rival,iv,O858
217,W2,M239,153,single,iv,O859
122,W2,M239,154,rival,iv,O860
129,W3,M703,155,single,iv,O861
142,W2,M703,156,rival,iv,O862
174,W2,M395,156,rival,iv,O863
129,W2,M703,158,single,iv,O864
205,W2,M239,161,single,iv,O865
207,W3,M315,162,single,iv,O866
209,W3,M395,164,single,iv,O867
157,W4,M239,168,single,iv,O868
215,W2,M900,169,single,iv,O869
157,W3,M239,177,single,iv,O870
101,W1,M395,18,single,wild,O871
25,W1,M239,24,single,wild,O872
33,W1,M703,27,single,wild,O873
45,W1,M703,27,single,wild,O874
73,W1,M239,28,single,wild,O875
109,W1,M239,34,single,wild,O876
97,W1,M239,36,single,wild,O877
11,W1,M900,37,single,wild,O878
41,W1,M395,37,single,wild,O879
89,W1,M395,38,single,wild,O880
103,W1,M596,38,single,wild,O881
115,W1,M596,38,single,wild,O882
37,W1,M239,41,single,wild,O883
117,W1,M703,43,single,wild,O884
3,W1,M315,46,single,wild,O885
71,W1,M900,46,single,wild,O886
105,W1,M703,46,single,wild,O887
113,W1,M395,46,single,wild,O888
27,W1,M315,47,single,wild,O889
5,W1,M395,49,single,wild,O890
13,W1,M239,49,single,wild,O891
69,W1,M703,49,single,wild,O892
75,W1,M315,51,single,wild,O893
77,W1,M395,52,single,wild,O894
81,W1,M703,52,single,wild,O895
51,W1,M315,53,single,wild,O896
21,W1,M703,54,single,wild,O897
111,W1,M315,54,single,wild,O898
29,W1,M395,55,single,wild,O899
55,W1,M596,55,single,wild,O900
57,W1,M703,55,single,wild,O901
99,W1,M315,55,single,wild,O902
59,W1,M900,56,single,wild,O903
61,W1,M239,56,single,wild,O904
17,W1,M395,57,single,wild,O905
19,W1,M596,58,single,wild,O906
39,W1,M315,58,single,wild,O907
31,W1,M596,60,single,wild,O908
43,W1,M596,60,single,wild,O909
93,W1,M703,60,single,wild,O910
49,W1,M239,61,single,wild,O911
1,W1,M239,62,single,wild,O912
119,W1,M900,62,single,wild,O913
15,W1,M315,63,single,wild,O914
87,W1,M315,63,single,wild,O915
65,W1,M395,64,single,wild,O916
63,W1,M315,66,single,wild,O917
83,W1,M900,66,single,wild,O918
85,W1,M239,66,single,wild,O919
107,W1,M900,69,single,wild,O920
53,W1,M395,70,single,wild,O921
7,W1,M596,73,single,wild,O922
9,W1,M703,76,single,wild,O923
95,W1,M900,76,single,wild,O924
91,W1,M596,77,single,wild,O925
79,W1,M596,81,single,wild,O926
47,W1,M900,82,single,wild,O927
23,W1,M900,88,single,wild,O928
35,W1,M900,88,single,wild,O929
67,W1,M596,95,single,wild,O930
104,W1,M596,15,rival,wild,O931
114,W1,M395,19,rival,wild,O932
40,W1,M315,27,rival,wild,O933
68,W1,M596,27,rival,wild,O934
46,W1,M703,31,rival,wild,O935
100,W1,M315,31,rival,wild,O936
112,W1,M315,33,rival,wild,O937
76,W1,M315,39,rival,wild,O938
80,W1,M596,41,rival,wild,O939
20,W1,M596,45,rival,wild,O940
50,W1,M239,45,rival,wild,O941
32,W1,M596,46,rival,wild,O942
72,W1,M900,46,rival,wild,O943
88,W1,M315,46,rival,wild,O944
92,W1,M596,46,rival,wild,O945
26,W1,M239,50,rival,wild,O946
44,W1,M596,50,rival,wild,O947
58,W1,M703,50,rival,wild,O948
52,W1,M315,54,rival,wild,O949
102,W1,M395,54,rival,wild,O950
118,W1,M703,55,rival,wild,O951
34,W1,M703,57,rival,wild,O952
70,W1,M703,58,rival,wild,O953
116,W1,M596,58,rival,wild,O954
12,W1,M900,59,rival,wild,O955
106,W1,M703,59,rival,wild,O956
28,W1,M315,60,rival,wild,O957
6,W1,M395,61,rival,wild,O958
8,W1,M596,61,rival,wild,O959
10,W1,M703,62,rival,wild,O960
18,W1,M395,62,rival,wild,O961
2,W1,M239,63,rival,wild,O962
14,W1,M239,63,rival,wild,O963
74,W1,M239,63,rival,wild,O964
98,W1,M239,63,rival,wild,O965
30,W1,M395,64,rival,wild,O966
36,W1,M900,64,rival,wild,O967
64,W1,M315,64,rival,wild,O968
82,W1,M703,64,rival,wild,O969
120,W1,M900,64,rival,wild,O970
66,W1,M395,66,rival,wild,O971
78,W1,M395,66,rival,wild,O972
48,W1,M900,67,rival,wild,O973
54,W1,M395,67,rival,wild,O974
16,W1,M315,69,rival,wild,O975
42,W1,M395,70,rival,wild,O976
24,W1,M900,71,rival,wild,O977
90,W1,M395,73,rival,wild,O978
94,W1,M703,74,rival,wild,O979
60,W1,M900,76,rival,wild,O980
96,W1,M900,78,rival,wild,O981
110,W1,M239,78,rival,wild,O982
22,W1,M703,79,rival,wild,O983
56,W1,M596,80,rival,wild,O984
62,W1,M239,80,rival,wild,O985
84,W1,M900,80,rival,wild,O986
86,W1,M239,80,rival,wild,O987
108,W1,M900,94,rival,wild,O988
4,W1,M315,95,rival,wild,O989
38,W1,M239,106,rival,wild,O990
61,W2,M239,14,single,wild,O991
73,W2,M239,17,single,wild,O992
45,W2,M703,18,single,wild,O993
103,W2,M596,22,single,wild,O994
39,W2,M315,24,single,wild,O995
89,W2,M395,25,single,wild,O996
49,W2,M239,27,single,wild,O997
115,W2,M596,27,single,wild,O998
33,W2,M703,29,single,wild,O999
75,W2,M315,30,single,wild,O1000
21,W2,M703,32,single,wild,O1001
27,W2,M315,32,single,wild,O1002
81,W2,M703,32,single,wild,O1003
15,W2,M315,34,single,wild,O1004
19,W2,M596,34,single,wild,O1005
117,W2,M703,34,single,wild,O1006
43,W2,M596,35,single,wild,O1007
105,W2,M703,35,single,wild,O1008
13,W2,M239,37,single,wild,O1009
111,W2,M315,40,single,wild,O1010
99,W2,M315,41,single,wild,O1011
1,W2,M239,42,single,wild,O1012
29,W2,M395,44,single,wild,O1013
69,W2,M703,44,single,wild,O1014
9,W2,M703,46,single,wild,O1015
51,W2,M315,46,single,wild,O1016
65,W2,M395,46,single,wild,O1017
25,W2,M239,47,single,wild,O1018
5,W2,M395,48,single,wild,O1019
31,W2,M596,48,single,wild,O1020
59,W2,M900,49,single,wild,O1021
71,W2,M900,52,single,wild,O1022
87,W2,M315,52,single,wild,O1023
93,W2,M703,52,single,wild,O1024
37,W2,M239,53,single,wild,O1025
47,W2,M900,53,single,wild,O1026
57,W2,M703,53,single,wild,O1027
7,W2,M596,55,single,wild,O1028
85,W2,M239,55,single,wild,O1029
91,W2,M596,57,single,wild,O1030
55,W2,M596,60,single,wild,O1031
95,W2,M900,62,single,wild,O1032
63,W2,M315,64,single,wild,O1033
79,W2,M596,64,single,wild,O1034
97,W2,M239,64,single,wild,O1035
101,W2,M395,64,single,wild,O1036
67,W2,M596,65,single,wild,O1037
3,W2,M315,67,single,wild,O1038
11,W2,M900,68,single,wild,O1039
107,W2,M900,68,single,wild,O1040
17,W2,M395,69,single,wild,O1041
77,W2,M395,69,single,wild,O1042
83,W2,M900,71,single,wild,O1043
23,W2,M900,72,single,wild,O1044
41,W2,M395,72,single,wild,O1045
113,W2,M395,73,single,wild,O1046
53,W2,M395,75,single,wild,O1047
109,W2,M239,79,single,wild,O1048
35,W2,M900,91,single,wild,O1049
119,W2,M900,101,single,wild,O1050
104,W2,M596,14,rival,wild,O1051
20,W2,M596,30,rival,wild,O1052
42,W2,M395,33,rival,wild,O1053
118,W2,M703,34,rival,wild,O1054
46,W2,M703,36,rival,wild,O1055
74,W2,M239,36,rival,wild,O1056
40,W2,M315,37,rival,wild,O1057
18,W2,M395,39,rival,wild,O1058
82,W2,M703,40,rival,wild,O1059
86,W2,M239,40,rival,wild,O1060
68,W2,M596,42,rival,wild,O1061
88,W2,M315,42,rival,wild,O1062
70,W2,M703,43,rival,wild,O1063
16,W2,M315,44,rival,wild,O1064
62,W2,M239,44,rival,wild,O1065
110,W2,M239,44,rival,wild,O1066
50,W2,M239,45,rival,wild,O1067
52,W2,M315,45,rival,wild,O1068
76,W2,M315,45,rival,wild,O1069
80,W2,M596,47,rival,wild,O1070
22,W2,M703,48,rival,wild,O1071
98,W2,M239,48,rival,wild,O1072
72,W2,M900,49,rival,wild,O1073
94,W2,M703,49,rival,wild,O1074
66,W2,M395,51,rival,wild,O1075
112,W2,M315,51,rival,wild,O1076
34,W2,M703,52,rival,wild,O1077
10,W2,M703,54,rival,wild,O1078
102,W2,M395,54,rival,wild,O1079
32,W2,M596,56,rival,wild,O1080
48,W2,M900,56,rival,wild,O1081
114,W2,M395,56,rival,wild,O1082
2,W2,M239,57,rival,wild,O1083
8,W2,M596,57,rival,wild,O1084
26,W2,M239,57,rival,wild,O1085
30,W2,M395,57,rival,wild,O1086
64,W2,M315,57,rival,wild,O1087
12,W2,M900,58,rival,wild,O1088
58,W2,M703,58,rival,wild,O1089
24,W2,M900,60,rival,wild,O1090
36,W2,M900,61,rival,wild,O1091
100,W2,M315,62,rival,wild,O1092
44,W2,M596,63,rival,wild,O1093
92,W2,M596,63,rival,wild,O1094
6,W2,M395,64,rival,wild,O1095
96,W2,M900,64,rival,wild,O1096
14,W2,M239,65,rival,wild,O1097
78,W2,M395,66,rival,wild,O1098
120,W2,M900,66,rival,wild,O1099
116,W2,M596,68,rival,wild,O1100
4,W2,M315,69,rival,wild,O1101
38,W2,M239,69,rival,wild,O1102
90,W2,M395,72,rival,wild,O1103
108,W2,M900,74,rival,wild,O1104
28,W2,M315,75,rival,wild,O1105
56,W2,M596,77,rival,wild,O1106
84,W2,M900,78,rival,wild,O1107
106,W2,M703,82,rival,wild,O1108
54,W2,M395,85,rival,wild,O1109
60,W2,M900,86,rival,wild,O1110
49,W3,M239,31,single,wild,O1111
33,W3,M703,51,single,wild,O1112
89,W3,M395,63,single,wild,O1113
73,W3,M239,66,single,wild,O1114
61,W3,M239,68,single,wild,O1115
39,W3,M315,71,single,wild,O1116
95,W3,M900,77,single,wild,O1117
115,W3,M596,77,single,wild,O1118
31,W3,M596,85,single,wild,O1119
67,W3,M596,85,single,wild,O1120
27,W3,M315,87,single,wild,O1121
103,W3,M596,87,single,wild,O1122
9,W3,M703,88,single,wild,O1123
11,W3,M900,91,single,wild,O1124
65,W3,M395,91,single,wild,O1125
47,W3,M900,92,single,wild,O1126
45,W3,M703,94,single,wild,O1127
63,W3,M315,94,single,wild,O1128
101,W3,M395,94,single,wild,O1129
37,W3,M239,95,single,wild,O1130
97,W3,M239,95,single,wild,O1131
91,W3,M596,97,single,wild,O1132
3,W3,M315,98,single,wild,O1133
21,W3,M703,98,single,wild,O1134
29,W3,M395,98,single,wild,O1135
71,W3,M900,98,single,wild,O1136
83,W3,M900,99,single,wild,O1137
25,W3,M239,100,single,wild,O1138
59,W3,M900,100,single,wild,O1139
75,W3,M315,101,single,wild,O1140
19,W3,M596,102,single,wild,O1141
43,W3,M596,102,single,wild,O1142
57,W3,M703,103,single,wild,O1143
109,W3,M239,105,single,wild,O1144
15,W3,M315,106,single,wild,O1145
117,W3,M703,106,single,wild,O1146
77,W3,M395,107,single,wild,O1147
99,W3,M315,107,single,wild,O1148
41,W3,M395,108,single,wild,O1149
105,W3,M703,108,single,wild,O1150
55,W3,M596,110,single,wild,O1151
87,W3,M315,110,single,wild,O1152
7,W3,M596,111,single,wild,O1153
69,W3,M703,111,single,wild,O1154
113,W3,M395,112,single,wild,O1155
5,W3,M395,113,single,wild,O1156
51,W3,M315,115,single,wild,O1157
81,W3,M703,115,single,wild,O1158
13,W3,M239,116,single,wild,O1159
79,W3,M596,116,single,wild,O1160
53,W3,M395,118,single,wild,O1161
107,W3,M900,120,single,wild,O1162
1,W3,M239,123,single,wild,O1163
23,W3,M900,124,single,wild,O1164
119,W3,M900,125,single,wild,O1165
17,W3,M395,126,single,wild,O1166
93,W3,M703,128,single,wild,O1167
35,W3,M900,133,single,wild,O1168
85,W3,M239,142,single,wild,O1169
100,W3,M315,64,rival,wild,O1170
90,W3,M395,67,rival,wild,O1171
106,W3,M703,67,rival,wild,O1172
76,W3,M315,76,rival,wild,O1173
18,W3,M395,85,rival,wild,O1174
64,W3,M315,86,rival,wild,O1175
68,W3,M596,86,rival,wild,O1176
114,W3,M395,86,rival,wild,O1177
20,W3,M596,87,rival,wild,O1178
44,W3,M596,88,rival,wild,O1179
30,W3,M395,89,rival,wild,O1180
28,W3,M315,90,rival,wild,O1181
82,W3,M703,91,rival,wild,O1182
72,W3,M900,92,rival,wild,O1183
108,W3,M900,92,rival,wild,O1184
84,W3,M900,93,rival,wild,O1185
102,W3,M395,93,rival,wild,O1186
4,W3,M315,94,rival,wild,O1187
94,W3,M703,97,rival,wild,O1188
42,W3,M395,98,rival,wild,O1189
36,W3,M900,99,rival,wild,O1190
52,W3,M315,99,rival,wild,O1191
98,W3,M239,99,rival,wild,O1192
12,W3,M900,100,rival,wild,O1193
26,W3,M239,100,rival,wild,O1194
86,W3,M239,100,rival,wild,O1195
22,W3,M703,102,rival,wild,O1196
40,W3,M315,102,rival,wild,O1197
88,W3,M315,102,rival,wild,O1198
16,W3,M315,103,rival,wild,O1199
80,W3,M596,103,rival,wild,O1200
112,W3,M315,103,rival,wild,O1201
34,W3,M703,104,rival,wild,O1202
92,W3,M596,104,rival,wild,O1203
60,W3,M900,106,rival,wild,O1204
120,W3,M900,106,rival,wild,O1205
48,W3,M900,107,rival,wild,O1206
118,W3,M703,108,rival,wild,O1207
2,W3,M239,110,rival,wild,O1208
38,W3,M239,111,rival,wild,O1209
46,W3,M703,111,rival,wild,O1210
54,W3,M395,111,rival,wild,O1211
10,W3,M703,112,rival,wild,O1212
56,W3,M596,112,rival,wild,O1213
32,W3,M596,115,rival,wild,O1214
6,W3,M395,118,rival,wild,O1215
58,W3,M703,119,rival,wild,O1216
62,W3,M239,119,rival,wild,O1217
70,W3,M703,120,rival,wild,O1218
74,W3,M239,120,rival,wild,O1219
96,W3,M900,121,rival,wild,O1220
8,W3,M596,123,rival,wild,O1221
14,W3,M239,123,rival,wild,O1222
50,W3,M239,123,rival,wild,O1223
116,W3,M596,125,rival,wild,O1224
78,W3,M395,130,rival,wild,O1225
110,W3,M239,133,rival,wild,O1226
24,W3,M900,136,rival,wild,O1227
49,W4,M239,26,single,wild,O1228
33,W4,M703,35,single,wild,O1229
91,W4,M596,37,single,wild,O1230
95,W4,M900,66,single,wild,O1231
97,W4,M239,93,single,wild,O1232
7,W4,M596,98,single,wild,O1233
39,W4,M315,101,single,wild,O1234
65,W4,M395,101,single,wild,O1235
89,W4,M395,104,single,wild,O1236
27,W4,M315,109,single,wild,O1237
101,W4,M395,109,single,wild,O1238
73,W4,M239,110,single,wild,O1239
5,W4,M395,112,single,wild,O1240
99,W4,M315,112,single,wild,O1241
51,W4,M315,114,single,wild,O1242
61,W4,M239,115,single,wild,O1243
57,W4,M703,117,single,wild,O1244
117,W4,M703,117,single,wild,O1245
83,W4,M900,119,single,wild,O1246
103,W4,M596,119,single,wild,O1247
109,W4,M239,120,single,wild,O1248
17,W4,M395,121,single,wild,O1249
41,W4,M395,121,single,wild,O1250
43,W4,M596,121,single,wild,O1251
45,W4,M703,121,single,wild,O1252
3,W4,M315,123,single,wild,O1253
29,W4,M395,124,single,wild,O1254
77,W4,M395,124,single,wild,O1255
69,W4,M703,125,single,wild,O1256
113,W4,M395,125,single,wild,O1257
11,W4,M900,126,single,wild,O1258
13,W4,M239,126,single,wild,O1259
15,W4,M315,126,single,wild,O1260
105,W4,M703,126,single,wild,O1261
25,W4,M239,127,single,wild,O1262
81,W4,M703,127,single,wild,O1263
21,W4,M703,129,single,wild,O1264
55,W4,M596,129,single,wild,O1265
115,W4,M596,129,single,wild,O1266
107,W4,M900,130,single,wild,O1267
71,W4,M900,131,single,wild,O1268
79,W4,M596,132,single,wild,O1269
37,W4,M239,133,single,wild,O1270
53,W4,M395,135,single,wild,O1271
9,W4,M703,137,single,wild,O1272
47,W4,M900,137,single,wild,O1273
67,W4,M596,139,single,wild,O1274
59,W4,M900,142,single,wild,O1275
31,W4,M596,146,single,wild,O1276
19,W4,M596,148,single,wild,O1277
119,W4,M900,152,single,wild,O1278
35,W4,M900,153,single,wild,O1279
85,W4,M239,153,single,wild,O1280
1,W4,M239,154,single,wild,O1281
87,W4,M315,154,single,wild,O1282
75,W4,M315,155,single,wild,O1283
23,W4,M900,164,single,wild,O1284
93,W4,M703,166,single,wild,O1285
63,W4,M315,167,single,wild,O1286
88,W4,M315,21,rival,wild,O1287
100,W4,M315,66,rival,wild,O1288
8,W4,M596,90,rival,wild,O1289
96,W4,M900,102,rival,wild,O1290
26,W4,M239,103,rival,wild,O1291
68,W4,M596,103,rival,wild,O1292
46,W4,M703,113,rival,wild,O1293
52,W4,M315,113,rival,wild,O1294
76,W4,M315,117,rival,wild,O1295
42,W4,M395,118,rival,wild,O1296
80,W4,M596,119,rival,wild,O1297
72,W4,M900,120,rival,wild,O1298
106,W4,M703,120,rival,wild,O1299
18,W4,M395,122,rival,wild,O1300
112,W4,M315,123,rival,wild,O1301
28,W4,M315,126,rival,wild,O1302
74,W4,M239,126,rival,wild,O1303
102,W4,M395,126,rival,wild,O1304
84,W4,M900,128,rival,wild,O1305
10,W4,M703,130,rival,wild,O1306
118,W4,M703,130,rival,wild,O1307
70,W4,M703,131,rival,wild,O1308
12,W4,M900,132,rival,wild,O1309
20,W4,M596,132,rival,wild,O1310
86,W4,M239,132,rival,wild,O1311
94,W4,M703,132,rival,wild,O1312
114,W4,M395,132,rival,wild,O1313
98,W4,M239,134,rival,wild,O1314
16,W4,M315,136,rival,wild,O1315
56,W4,M596,136,rival,wild,O1316
116,W4,M596,136,rival,wild,O1317
22,W4,M703,137,rival,wild,O1318
90,W4,M395,137,rival,wild,O1319
40,W4,M315,138,rival,wild,O1320
2,W4,M239,139,rival,wild,O1321
54,W4,M395,139,rival,wild,O1322
62,W4,M239,139,rival,wild,O1323
14,W4,M239,140,rival,wild,O1324
78,W4,M395,140,rival,wild,O1325
32,W4,M596,141,rival,wild,O1326
48,W4,M900,141,rival,wild,O1327
64,W4,M315,141,rival,wild,O1328
4,W4,M315,142,rival,wild,O1329
24,W4,M900,142,rival,wild,O1330
92,W4,M596,143,rival,wild,O1331
82,W4,M703,144,rival,wild,O1332
6,W4,M395,145,rival,wild,O1333
50,W4,M239,145,rival,wild,O1334
108,W4,M900,145,rival,wild,O1335
110,W4,M239,145,rival,wild,O1336
30,W4,M395,151,rival,wild,O1337
58,W4,M703,151,rival,wild,O1338
34,W4,M703,152,rival,wild,O1339
44,W4,M596,154,rival,wild,O1340
36,W4,M900,156,rival,wild,O1341
60,W4,M900,161,rival,wild,O1342
38,W4,M239,165,rival,wild,O1343
120,W4,M900,166,rival,wild,O1344
49,W5,M239,14,single,wild,O1345
21,W5,M703,16,single,wild,O1346
15,W5,M315,29,single,wild,O1347
33,W5,M703,29,single,wild,O1348
119,W5,M900,49,single,wild,O1349
23,W5,M900,64,single,wild,O1350
87,W5,M315,76,single,wild,O1351
101,W5,M395,76,single,wild,O1352
27,W5,M315,78,single,wild,O1353
113,W5,M395,83,single,wild,O1354
73,W5,M239,84,single,wild,O1355
7,W5,M596,89,single,wild,O1356
65,W5,M395,94,single,wild,O1357
81,W5,M703,95,single,wild,O1358
105,W5,M703,96,single,wild,O1359
25,W5,M239,97,single,wild,O1360
89,W5,M395,98,single,wild,O1361
79,W5,M596,99,single,wild,O1362
11,W5,M900,101,single,wild,O1363
45,W5,M703,102,single,wild,O1364
41,W5,M395,104,single,wild,O1365
5,W5,M395,106,single,wild,O1366
51,W5,M315,106,single,wild,O1367
37,W5,M239,108,single,wild,O1368
57,W5,M703,109,single,wild,O1369
95,W5,M900,109,single,wild,O1370
61,W5,M239,110,single,wild,O1371
3,W5,M315,112,single,wild,O1372
55,W5,M596,112,single,wild,O1373
115,W5,M596,114,single,wild,O1374
71,W5,M900,120,single,wild,O1375
17,W5,M395,125,single,wild,O1376
39,W5,M315,126,single,wild,O1377
83,W5,M900,126,single,wild,O1378
43,W5,M596,127,single,wild,O1379
31,W5,M596,133,single,wild,O1380
69,W5,M703,133,single,wild,O1381
103,W5,M596,134,single,wild,O1382
77,W5,M395,136,single,wild,O1383
85,W5,M239,136,single,wild,O1384
47,W5,M900,137,single,wild,O1385
19,W5,M596,138,single,wild,O1386
117,W5,M703,139,single,wild,O1387
63,W5,M315,140,single,wild,O1388
97,W5,M239,142,single,wild,O1389
109,W5,M239,143,single,wild,O1390
13,W5,M239,144,single,wild,O1391
29,W5,M395,146,single,wild,O1392
59,W5,M900,147,single,wild,O1393
93,W5,M703,154,single,wild,O1394
67,W5,M596,158,single,wild,O1395
99,W5,M315,158,single,wild,O1396
107,W5,M900,162,single,wild,O1397
1,W5,M239,163,single,wild,O1398
75,W5,M315,163,single,wild,O1399
9,W5,M703,164,single,wild,O1400
35,W5,M900,167,single,wild,O1401
53,W5,M395,169,single,wild,O1402
100,W5,M315,28,rival,wild,O1403
26,W5,M239,55,rival,wild,O1404
28,W5,M315,55,rival,wild,O1405
6,W5,M395,59,rival,wild,O1406
14,W5,M239,59,rival,wild,O1407
112,W5,M315,61,rival,wild,O1408
20,W5,M596,66,rival,wild,O1409
34,W5,M703,67,rival,wild,O1410
106,W5,M703,69,rival,wild,O1411
58,W5,M703,78,rival,wild,O1412
90,W5,M395,81,rival,wild,O1413
4,W5,M315,89,rival,wild,O1414
114,W5,M395,89,rival,wild,O1415
30,W5,M395,91,rival,wild,O1416
88,W5,M315,103,rival,wild,O1417
120,W5,M900,103,rival,wild,O1418
22,W5,M703,104,rival,wild,O1419
84,W5,M900,104,rival,wild,O1420
52,W5,M315,106,rival,wild,O1421
8,W5,M596,108,rival,wild,O1422
40,W5,M315,108,rival,wild,O1423
92,W5,M596,109,rival,wild,O1424
46,W5,M703,113,rival,wild,O1425
80,W5,M596,115,rival,wild,O1426
74,W5,M239,116,rival,wild,O1427
76,W5,M315,117,rival,wild,O1428
18,W5,M395,118,rival,wild,O1429
16,W5,M315,120,rival,wild,O1430
10,W5,M703,121,rival,wild,O1431
64,W5,M315,122,rival,wild,O1432
24,W5,M900,124,rival,wild,O1433
12,W5,M900,126,rival,wild,O1434
68,W5,M596,126,rival,wild,O1435
60,W5,M900,127,rival,wild,O1436
82,W5,M703,127,rival,wild,O1437
86,W5,M239,128,rival,wild,O1438
54,W5,M395,129,rival,wild,O1439
102,W5,M395,129,rival,wild,O1440
72,W5,M900,132,rival,wild,O1441
44,W5,M596,135,rival,wild,O1442
62,W5,M239,136,rival,wild,O1443
118,W5,M703,136,rival,wild,O1444
94,W5,M703,137,rival,wild,O1445
2,W5,M239,138,rival,wild,O1446
70,W5,M703,139,rival,wild,O1447
42,W5,M395,140,rival,wild,O1448
32,W5,M596,141,rival,wild,O1449
96,W5,M900,141,rival,wild,O1450
78,W5,M395,142,rival,wild,O1451
38,W5,M239,143,rival,wild,O1452
108,W5,M900,144,rival,wild,O1453
98,W5,M239,145,rival,wild,O1454
56,W5,M596,149,rival,wild,O1455
110,W5,M239,152,rival,wild,O1456
116,W5,M596,153,rival,wild,O1457
48,W5,M900,154,rival,wild,O1458
50,W5,M239,166,rival,wild,O1459
36,W5,M900,172,rival,wild,O1460
49,W6,M239,0,single,wild,O1461
83,W6,M900,2,single,wild,O1462
23,W6,M900,12,single,wild,O1463
89,W6,M395,29,single,wild,O1464
33,W6,M703,34,single,wild,O1465
73,W6,M239,36,single,wild,O1466
67,W6,M596,45,single,wild,O1467
95,W6,M900,45,single,wild,O1468
61,W6,M239,48,single,wild,O1469
79,W6,M596,52,single,wild,O1470
93,W6,M703,63,single,wild,O1471
105,W6,M703,63,single,wild,O1472
41,W6,M395,67,single,wild,O1473
57,W6,M703,73,single,wild,O1474
29,W6,M395,81,single,wild,O1475
45,W6,M703,82,single,wild,O1476
5,W6,M395,83,single,wild,O1477
