female,day,line,offspring,treatment,pop
224,W5,M596,90,rival,iv
153,W1,M703,91,single,iv
195,W1,M315,91,single,iv
131,W2,M900,91,single,iv
189,W2,M703,91,single,iv
201,W2,M703,91,single,iv
156,W3,M900,91,rival,iv
214,W4,M703,91,rival,iv
134,W6,M239,91,rival,iv
145,W1,M239,92,single,iv
156,W2,M900,92,rival,iv
181,W3,M239,92,single,iv
198,W3,M395,92,rival,iv
201,W3,M703,92,single,iv
234,W3,M395,92,rival,iv
125,W4,M395,92,single,iv
137,W4,M395,92,single,iv
149,W4,M395,92,single,iv
230,W5,M239,92,rival,iv
235,W5,M596,92,single,iv
124,W1,M315,93,rival,iv
185,W1,M395,93,single,iv
192,W1,M900,93,rival,iv
219,W1,M315,93,single,iv
141,W4,M703,93,single,iv
181,W5,M239,93,single,iv
222,W5,M395,93,rival,iv
228,W5,M900,93,rival,iv
236,W5,M596,93,rival,iv
183,W7,M315,93,single,iv
237,W9,M703,93,single,iv
206,W1,M239,94,rival,iv
218,W1,M239,94,rival,iv
233,W1,M395,94,single,iv
137,W3,M395,94,single,iv
169,W3,M239,94,single,iv
126,W4,M395,94,rival,iv
210,W6,M395,94,rival,iv
237,W6,M703,94,single,iv
218,W7,M239,94,rival,iv
174,W8,M395,94,rival,iv
150,W1,M395,95,rival,iv
141,W2,M703,95,single,iv
150,W3,M395,95,rival,iv
191,W3,M900,95,single,iv
173,W6,M395,95,single,iv
179,W6,M900,95,single,iv
170,W7,M239,95,rival,iv
233,W8,M395,95,single,iv
164,W1,M596,96,rival,iv
186,W1,M395,96,rival,iv
187,W1,M596,96,single,iv
216,W1,M900,96,rival,iv
226,W1,M703,96,rival,iv
204,W2,M900,96,rival,iv
213,W4,M703,96,single,iv
166,W5,M703,96,rival,iv
190,W5,M703,96,rival,iv
134,W7,M239,96,rival,iv
204,W7,M900,96,rival,iv
179,W1,M900,97,single,iv
217,W1,M239,97,single,iv
227,W6,M900,97,single,iv
123,W8,M315,97,single,iv
239,W8,M900,97,single,iv
126,W10,M395,97,rival,iv
196,W1,M315,98,rival,iv
221,W1,M395,98,single,iv
223,W1,M596,98,single,iv
230,W1,M239,98,rival,iv
184,W2,M315,98,rival,iv
214,W5,M703,98,rival,iv
223,W2,M596,99,single,iv
239,W2,M900,99,single,iv
198,W6,M395,99,rival,iv
166,W1,M703,100,rival,iv
191,W1,M900,100,single,iv
210,W1,M395,100,rival,iv
215,W1,M900,100,single,iv
173,W2,M395,100,single,iv
206,W2,M239,100,rival,iv
221,W2,M395,100,single,iv
170,W4,M239,100,rival,iv
149,W5,M395,100,single,iv
210,W5,M395,100,rival,iv
237,W7,M703,100,single,iv
121,W1,M239,101,single,iv
143,W1,M900,101,single,iv
151,W1,M596,101,single,iv
204,W1,M900,101,rival,iv
212,W1,M596,101,rival,iv
222,W1,M395,101,rival,iv
240,W1,M900,101,rival,iv
213,W2,M703,101,single,iv
222,W3,M395,101,rival,iv
198,W4,M395,101,rival,iv
143,W5,M900,101,single,iv
187,W5,M596,101,single,iv
160,W6,M315,101,rival,iv
217,W7,M239,101,single,iv
184,W8,M315,101,rival,iv
227,W9,M900,101,single,iv
130,W1,M703,102,rival,iv
200,W1,M596,102,rival,iv
159,W3,M315,102,single,iv
168,W3,M900,102,rival,iv
213,W3,M703,102,single,iv
136,W4,M315,102,rival,iv
166,W4,M703,102,rival,iv
235,W4,M596,102,single,iv
162,W5,M395,102,rival,iv
196,W5,M315,102,rival,iv
207,W6,M315,102,single,iv
235,W6,M596,102,single,iv
182,W1,M239,103,rival,iv
138,W2,M395,103,rival,iv
147,W2,M315,103,single,iv
125,W3,M395,103,single,iv
147,W4,M315,103,single,iv
179,W4,M900,103,single,iv
240,W4,M900,103,rival,iv
198,W5,M395,103,rival,iv
135,W6,M315,103,single,iv
126,W7,M395,103,rival,iv
151,W9,M596,103,single,iv
175,W1,M596,104,single,iv
165,W2,M703,104,single,iv
180,W2,M900,104,rival,iv
181,W2,M239,104,single,iv
183,W4,M315,104,single,iv
189,W4,M703,104,single,iv
211,W4,M596,104,single,iv
234,W5,M395,104,rival,iv
184,W7,M315,104,rival,iv
138,W1,M395,105,rival,iv
140,W1,M596,105,rival,iv
208,W1,M315,105,rival,iv
135,W2,M315,105,single,iv
143,W2,M900,105,single,iv
218,W2,M239,105,rival,iv
149,W3,M395,105,single,iv
182,W3,M239,105,rival,iv
183,W3,M315,105,single,iv
187,W3,M596,105,single,iv
230,W3,M239,105,rival,iv
237,W3,M703,105,single,iv
124,W5,M315,105,rival,iv
154,W7,M703,105,rival,iv
236,W1,M596,106,rival,iv
134,W2,M239,106,rival,iv
137,W2,M395,106,single,iv
126,W3,M395,106,rival,iv
143,W3,M900,106,single,iv
134,W4,M239,106,rival,iv
150,W4,M395,106,rival,iv
230,W4,M239,106,rival,iv
237,W4,M703,106,single,iv
227,W8,M900,106,single,iv
132,W1,M900,107,rival,iv
210,W2,M395,107,rival,iv
141,W3,M703,107,single,iv
157,W9,M239,107,single,iv
136,W1,M315,108,rival,iv
168,W1,M900,108,rival,iv
227,W1,M900,108,single,iv
162,W3,M395,108,rival,iv
193,W5,M239,108,single,iv
204,W6,M900,108,rival,iv
150,W7,M395,108,rival,iv
151,W7,M596,108,single,iv
151,W8,M596,108,single,iv
162,W1,M395,109,rival,iv
181,W1,M239,109,single,iv
199,W1,M596,109,single,iv
139,W2,M596,109,single,iv
146,W2,M239,109,rival,iv
187,W2,M596,109,single,iv
193,W3,M239,109,single,iv
228,W3,M900,109,rival,iv
151,W5,M596,109,single,iv
231,W9,M315,109,single,iv
147,W1,M315,110,single,iv
172,W1,M315,110,rival,iv
228,W1,M900,110,rival,iv
164,W3,M596,110,rival,iv
170,W3,M239,110,rival,iv
121,W4,M239,110,single,iv
194,W4,M239,110,rival,iv
150,W5,M395,110,rival,iv
150,W6,M395,110,rival,iv
154,W6,M703,110,rival,iv
183,W6,M315,110,single,iv
125,W8,M395,110,single,iv
177,W1,M703,111,single,iv
238,W1,M703,111,rival,iv
188,W2,M596,111,rival,iv
235,W2,M596,111,single,iv
240,W2,M900,111,rival,iv
204,W3,M900,111,rival,iv
143,W4,M900,111,single,iv
234,W4,M395,111,rival,iv
184,W6,M315,111,rival,iv
180,W7,M900,111,rival,iv
148,W1,M315,112,rival,iv
171,W1,M315,112,single,iv
174,W1,M395,112,rival,iv
180,W1,M900,112,rival,iv
145,W2,M239,112,single,iv
166,W2,M703,112,rival,iv
168,W2,M900,112,rival,iv
179,W2,M900,112,single,iv
158,W3,M239,112,rival,iv
139,W4,M596,112,single,iv
159,W4,M315,112,single,iv
181,W4,M239,112,single,iv
187,W4,M596,112,single,iv
231,W4,M315,112,single,iv
239,W4,M900,112,single,iv
134,W5,M239,112,rival,iv
151,W6,M596,112,single,iv
161,W6,M395,112,single,iv
122,W1,M239,113,rival,iv
160,W1,M315,113,rival,iv
237,W2,M703,113,single,iv
123,W3,M315,113,single,iv
132,W3,M900,113,rival,iv
211,W3,M596,113,single,iv
191,W4,M900,113,single,iv
204,W4,M900,113,rival,iv
126,W5,M395,113,rival,iv
138,W7,M395,113,rival,iv
196,W3,M315,114,rival,iv
218,W3,M239,114,rival,iv
218,W4,M239,114,rival,iv
224,W4,M596,114,rival,iv
224,W1,M596,115,rival,iv
194,W2,M239,115,rival,iv
188,W4,M596,115,rival,iv
148,W6,M315,115,rival,iv
239,W6,M900,115,single,iv
151,W10,M596,115,single,iv
198,W2,M395,116,rival,iv
222,W2,M395,116,rival,iv
135,W3,M315,116,single,iv
160,W3,M315,116,rival,iv
206,W3,M239,116,rival,iv
124,W4,M315,116,rival,iv
193,W4,M239,116,single,iv
161,W8,M395,116,single,iv
135,W1,M315,117,single,iv
184,W1,M315,117,rival,iv
192,W2,M900,117,rival,iv
196,W2,M315,117,rival,iv
139,W3,M596,117,single,iv
166,W3,M703,117,rival,iv
179,W3,M900,117,single,iv
174,W7,M395,117,rival,iv
141,W1,M703,118,single,iv
203,W1,M900,118,single,iv
149,W2,M395,118,single,iv
191,W2,M900,118,single,iv
211,W2,M596,118,single,iv
147,W3,M315,118,single,iv
194,W3,M239,118,rival,iv
196,W4,M315,118,rival,iv
236,W4,M596,118,rival,iv
122,W5,M239,118,rival,iv
122,W7,M239,118,rival,iv
159,W1,M315,119,single,iv
205,W1,M239,119,single,iv
214,W1,M703,119,rival,iv
144,W2,M900,119,rival,iv
204,W5,M900,119,rival,iv
180,W6,M900,119,rival,iv
157,W7,M239,119,single,iv
190,W1,M703,120,rival,iv
161,W4,M395,120,single,iv
217,W5,M239,120,single,iv
183,W1,M315,121,single,iv
235,W1,M596,121,single,iv
190,W3,M703,121,rival,iv
233,W3,M395,121,single,iv
129,W4,M703,121,single,iv
184,W5,M315,121,rival,iv
217,W6,M239,121,single,iv
198,W1,M395,122,rival,iv
234,W1,M395,122,rival,iv
193,W2,M239,122,single,iv
220,W3,M315,122,rival,iv
184,W4,M315,122,rival,iv
215,W4,M900,122,single,iv
154,W5,M703,122,rival,iv
161,W5,M395,122,single,iv
207,W5,M315,122,single,iv
237,W5,M703,122,single,iv
220,W1,M315,123,rival,iv
176,W2,M596,123,rival,iv
228,W2,M900,123,rival,iv
236,W2,M596,123,rival,iv
154,W3,M703,123,rival,iv
188,W3,M596,123,rival,iv
205,W3,M239,123,single,iv
236,W3,M596,123,rival,iv
154,W4,M703,123,rival,iv
217,W4,M239,123,single,iv
231,W5,M315,123,single,iv
161,W1,M395,124,single,iv
150,W2,M395,124,rival,iv
159,W2,M315,124,single,iv
170,W2,M239,124,rival,iv
175,W3,M596,124,single,iv
133,W4,M239,124,single,iv
203,W4,M900,124,single,iv
125,W5,M395,124,single,iv
123,W6,M315,124,single,iv
231,W6,M315,124,single,iv
190,W2,M703,125,rival,iv
207,W1,M315,126,single,iv
160,W4,M315,126,rival,iv
175,W4,M596,126,single,iv
222,W4,M395,126,rival,iv
148,W5,M315,126,rival,iv
180,W5,M900,126,rival,iv
239,W5,M900,126,single,iv
231,W8,M315,126,single,iv
231,W10,M315,126,single,iv
127,W1,M596,127,single,iv
231,W1,M315,127,single,iv
133,W2,M239,127,single,iv
230,W2,M239,127,rival,iv
180,W9,M900,127,rival,iv
170,W1,M239,128,rival,iv
161,W2,M395,128,single,iv
183,W2,M315,128,single,iv
227,W4,M900,128,single,iv
160,W5,M315,128,rival,iv
170,W5,M239,128,rival,iv
209,W5,M395,128,single,iv
136,W2,M315,129,rival,iv
220,W2,M315,129,rival,iv
135,W5,M315,129,single,iv
154,W2,M703,130,rival,iv
160,W2,M315,130,rival,iv
128,W3,M596,130,rival,iv
148,W3,M315,130,rival,iv
224,W3,M596,130,rival,iv
123,W4,M315,130,single,iv
233,W4,M395,130,single,iv
233,W6,M395,130,single,iv
124,W2,M315,131,rival,iv
124,W3,M315,131,rival,iv
151,W3,M596,131,single,iv
233,W5,M395,131,single,iv
188,W1,M596,132,rival,iv
126,W2,M395,132,rival,iv
123,W1,M315,133,single,iv
148,W2,M315,133,rival,iv
203,W2,M900,133,single,iv
234,W2,M395,133,rival,iv
142,W3,M703,133,rival,iv
231,W7,M315,133,single,iv
231,W2,M315,134,single,iv
233,W2,M395,135,single,iv
180,W3,M900,135,rival,iv
231,W3,M315,135,single,iv
209,W4,M395,135,single,iv
123,W5,M315,135,single,iv
126,W1,M395,136,rival,iv
142,W1,M703,136,rival,iv
199,W3,M596,136,single,iv
203,W3,M900,136,single,iv
207,W4,M315,136,single,iv
157,W1,M239,137,single,iv
121,W2,M239,137,single,iv
175,W2,M596,137,single,iv
209,W2,M395,137,single,iv
125,W2,M395,138,single,iv
157,W5,M239,138,single,iv
215,W3,M900,139,single,iv
240,W3,M900,139,rival,iv
151,W4,M596,139,single,iv
123,W2,M315,140,single,iv
132,W2,M900,141,rival,iv
224,W2,M596,141,rival,iv
151,W2,M596,142,single,iv
199,W2,M596,142,single,iv
207,W2,M315,144,single,iv
199,W4,M596,145,single,iv
164,W2,M596,146,rival,iv
133,W3,M239,146,single,iv
217,W3,M239,146,single,iv
214,W2,M703,147,rival,iv
239,W3,M900,147,single,iv
140,W2,M596,148,rival,iv
122,W3,M239,148,rival,iv
135,W4,M315,148,single,iv
158,W2,M239,149,rival,iv
214,W3,M703,149,rival,iv
162,W2,M395,151,rival,iv
174,W4,M395,152,rival,iv
217,W2,M239,153,single,iv
122,W2,M239,154,rival,iv
129,W3,M703,155,single,iv
142,W2,M703,156,rival,iv
174,W2,M395,156,rival,iv
129,W2,M703,158,single,iv
205,W2,M239,161,single,iv
207,W3,M315,162,single,iv
209,W3,M395,164,single,iv
157,W4,M239,168,single,iv
215,W2,M900,169,single,iv
157,W3,M239,177,single,iv
101,W1,M395,18,single,wild
25,W1,M239,24,single,wild
33,W1,M703,27,single,wild
45,W1,M703,27,single,wild
73,W1,M239,28,single,wild
109,W1,M239,34,single,wild
97,W1,M239,36,single,wild
11,W1,M900,37,single,wild
41,W1,M395,37,single,wild
89,W1,M395,38,single,wild
103,W1,M596,38,single,wild
115,W1,M596,38,single,wild
37,W1,M239,41,single,wild
117,W1,M703,43,single,wild
3,W1,M315,46,single,wild
71,W1,M900,46,single,wild
105,W1,M703,46,single,wild
113,W1,M395,46,single,wild
27,W1,M315,47,single,wild
5,W1,M395,49,single,wild
13,W1,M239,49,single,wild
69,W1,M703,49,single,wild
75,W1,M315,51,single,wild
77,W1,M395,52,single,wild
81,W1,M703,52,single,wild
51,W1,M315,53,single,wild
21,W1,M703,54,single,wild
111,W1,M315,54,single,wild
29,W1,M395,55,single,wild
55,W1,M596,55,single,wild
57,W1,M703,55,single,wild
